image_id,old,v5,ans,kind,cat,note
001333,2021-12-NONE,2021-12-NONE,,blank,v5 정답,
001334,2021-10-26,2021-10-26,,blank,v5 정답,
001335,NONE-02-30,NONE,2021-10-26,parsed,둘 다 오답,2021-10-26(크기 축소)
001337,2021-07-04,2021-07-04,,blank,v5 정답,
001356,2023-08-20,2023-08-NONE,,unparsed,메모만 (정답 파싱 실패),EXP: 08/22(22년 08월인지 모르겠음. 근데 그래도 2023은 아님)
001357,2023-08-20,2023-08-NONE,,unparsed,메모만 (정답 파싱 실패),EXP: 08/22(22년 08월인지 모르겠음. 근데 그래도 2023은 아님)
001358,실패,2020-12-08,,unparsed,메모만 (정답 파싱 실패),12.2020_13:28로 적힘. :은 시간이라 빼야됨. 2020-12-None인듯
001359,실패,2020-12-03,,unparsed,메모만 (정답 파싱 실패),12.2020_13:28로 적힘. :은 시간이라 빼야됨. 2020-12-None인듯
001360,2021-09-02,2021-09-02,,blank,v5 정답,
001361,2021-09-02,2029-02-07,2021-09-02,parsed,옛 모델만 정답,"2021-09-02(회전, 밝기 저하)"
001364,실패,2018-02-05,,unparsed,메모만 (정답 파싱 실패),02 2021(외국어라 이해 안 됨 나도.)
001368,실패,2021-08-19,,blank,v5 정답,
001376,2021-12-02,2021-12-02,,blank,v5 정답,
001377,2021-12-02,2021-12-02,,blank,v5 정답,
001379,2021-01-22,2021-01-22,,blank,v5 정답,
001381,2021-04-09,2021-04-09,,blank,v5 정답,
001384,실패,NONE,,unparsed,메모만 (정답 파싱 실패),09-2018(도트문자열)
001385,실패,NONE-09-20,,unparsed,메모만 (정답 파싱 실패),09-2018(도트문자열)
001393,2022-07-14,2022-07-14,,blank,v5 정답,
001395,2021-09-01,2024-09-02,2021-09-01,parsed,옛 모델만 정답,2021-09-01이 맞음. 기존 모델이 맞음.
001400,실패,2022-NONE-28,2022-01-29,parsed,둘 다 오답,2022.01.29(도트문자열)
001401,실패,NONE,2022-01-29,parsed,둘 다 오답,"2022.01.29(도트문자열, 회전, 밝기 저하)"
001402,NONE-05-10,2020-05-29,2020-09-29,parsed,둘 다 오답,2020.09.29(도트문자열)
001403,실패,NONE,2020-09-29,parsed,둘 다 오답,2020.09.29(도트문자열)
001404,2021-01-27,2021-01-27,,blank,v5 정답,
001410,2021-05-25,2021-05-25,,blank,v5 정답,
001411,2022-09-06,2022-09-06,,blank,v5 정답,
001414,NONE-04-01,2021-02-24,2021-07-23,parsed,둘 다 오답,"21.07.23(부터로 인식해서 틀림, 까지랑 21.07.23 높이차이가 있는 것도 작용한듯)"
001417,2021-11-05,2021-11-05,,blank,v5 정답,
001455,2022-01-02,2022-04-02,,blank,v5 정답,
001463,2021-11-17,2021-11-14,2021-11-17,parsed,옛 모델만 정답,"2021-11-17이 맞음. 도트문자열, 기존 모델이 맞음"
001466,2020-11-03,2020-11-03,,blank,v5 정답,
001467,2020-01-03,2020-07-03,,blank,v5 정답,
001477,실패,2022-NONE-18,2022-05-10,parsed,둘 다 오답,22.05.10이 맞음. 도트문자열
001481,실패,2020-01-31,,unparsed,메모만 (정답 파싱 실패),2020은 없음.(도트문자열)
001482,실패,2031-01-02,,unparsed,메모만 (정답 파싱 실패),"01.31(도트문자열, 밝기 저하)"
001483,NONE-04-20,NONE,,unparsed,메모만 (정답 파싱 실패),FEB/06/21(FEB가 규칙으로 들어갔음에도 월을 못 잡음)
001493,실패,2023-08-17,,unparsed,메모만 (정답 파싱 실패),17/AUG/2023을 정확히 잡아냄
001494,실패,2023-06-17,,unparsed,메모만 (정답 파싱 실패),위와 같은 사진인데 월을 틀림. 왜? 원인 분석 필요
001508,실패,NONE,,unparsed,메모만 (정답 파싱 실패),OCT-19-2021
001509,실패,NONE,,unparsed,메모만 (정답 파싱 실패),OCT-19-2021
001521,실패,2021-07-08,,blank,v5 정답,
001523,2021-01-15,2021-01-15,2021-06-14,parsed,둘 다 오답,2021.06.14(부터/까지 문제)
001526,2021-01-21,2021-01-21,,blank,v5 정답,
001546,2021-07-04,2021-07-04,,blank,v5 정답,
001548,2020-09-29,2023-09-20,2022-09-28,parsed,둘 다 오답,"28/09/2022(EXP를 인식해야할듯, 도트문자열)"
001549,2020-09-29,2020-09-29,2022-09-28,parsed,둘 다 오답,"28/09/2022(EXP를 인식해야할듯, 도트문자열)"
001550,실패,2021-08-02,2021-08-25,parsed,둘 다 오답,2021/08/25(BEST BEFORE 인식 필요)
001552,실패,2019-02-01,NONE-02-19,partial,둘 다 오답,"02.19까지, 도트문자열"
001553,실패,2019-02-01,NONE-02-19,partial,둘 다 오답,"02.19까지, 도트문자열(밝기 저하, 크기 축소)"
001563,실패,NONE,2020-08-05,parsed,둘 다 오답,20.08.05 까지(까지랑 유통기한 둘 다 있는데 왜 못 잡지. 도트문자열)
001564,실패,NONE,2020-08-05,parsed,둘 다 오답,20.08.05 까지(까지랑 유통기한 둘 다 있는데 왜 못 잡지. 도트문자열)
001566,2020-04-23,2020-04-23,,blank,v5 정답,
001598,2021-03-07,2021-03-07,,unparsed,메모만 (정답 파싱 실패),너무 밝기가 높은데도 잘 잡아냄
001636,2021-12-22,2024-01-05,2021-12-22,parsed,옛 모델만 정답,"2021.12.22(기존 모델이 맞음, 부터/까지 문제)"
001640,실패,2021-02-NONE,2021-02-28,parsed,둘 다 오답,"2021.02.28(밝기 저하, 도트문자열)"
001644,2021-10-16,2021-10-16,,blank,v5 정답,
001646,실패,NONE,2021-10-12,parsed,둘 다 오답,2021-10-12 00:00:00
001688,실패,NONE,2021-06-22,parsed,둘 다 오답,"22 JUN 2021(캔, 도트문자열)"
001689,실패,NONE,2021-06-22,parsed,둘 다 오답,"22 JUN 2021(캔, 도트문자열, 회전)"
001693,2021-07-03,2021-07-NONE,2021-07-03,parsed,옛 모델만 정답,2021.07.03(기존 모델이 맞음)
001748,실패,2019-07-03,,blank,v5 정답,
001749,실패,NONE,2019-07-03,parsed,둘 다 오답,"2019.07.03(위와 같은 사진인데, 회전 들어가니까 틀림)"
001765,실패,2031-07-08,,unparsed,메모만 (정답 파싱 실패),"10/SEP/21 (SEP는 맞춰야되는데, 다른건 몰라도..)"
001766,실패,NONE,,unparsed,메모만 (정답 파싱 실패),"10/SEP/21 (SEP는 맞춰야되는데, 다른건 몰라도..)"
001769,2021-12-22,2021-12-22,,blank,v5 정답,
001776,2021-04-05,2021-04-05,,blank,v5 정답,
001787,실패,NONE,,unparsed,메모만 (정답 파싱 실패),12.20 들어감
001788,실패,2020-12-01,,unparsed,메모만 (정답 파싱 실패),12.20 들어감
001797,실패,2019-10-10,2020-05-26,parsed,둘 다 오답,20.05.26(부터/까지 문제)
001805,2020-11-09,2020-11-09,,blank,v5 정답,
001816,2021-01-15,2021-01-15,2021-04-14,parsed,둘 다 오답,21.04.14(부터/까지 문제)
001831,2020-12-NONE,2020-12-NONE,,blank,v5 정답,
001833,실패,NONE,2022-09-22,parsed,둘 다 오답,2022.09.22(밝기 문제)
001834,2022-07-12,2022-07-12,,blank,v5 정답,
001842,실패,2021-05-20,,unparsed,메모만 (정답 파싱 실패),05-2021(일은 없음)
001843,실패,2021-05-20,,unparsed,메모만 (정답 파싱 실패),05-2021(일은 없음)
001848,실패,2021-11-18,,blank,v5 정답,
001850,2021-12-16,2021-12-16,,blank,v5 정답,
001851,실패,2016-11-10,2021-12-16,parsed,둘 다 오답,"2021/12/16(회전, 위와 같은 사진)"
001853,실패,2018-08-02,2022-08-18,parsed,둘 다 오답,2022 08 18(글자랑 배경색 비슷함)
001855,실패,NONE,2023-10-28,parsed,둘 다 오답,28.Oct.2023(도트문자열)
001856,실패,NONE,2023-10-28,parsed,둘 다 오답,"28.Oct.2023(도트문자열, 회전)"
001859,NONE-01-08,NONE,2022-07-08,parsed,둘 다 오답,2022/07/08(도트문자열)
001860,실패,NONE,2022-07-08,parsed,둘 다 오답,"2022/07/08(도트문자열, 밝기 너무 밝음)"
001864,2023-08-04,2023-08-NONE,2023-08-04,parsed,옛 모델만 정답,04/08/2023(기존 모델이 맞춤)
001868,실패,NONE,2022-07-NONE,partial,둘 다 오답,"JUL 2022(회전, 밝기 높음)"
001880,2024-09-01,2024-09-01,2021-09-21,parsed,둘 다 오답,2021 09 21임
001881,실패,2021-06-20,,blank,v5 정답,
001882,실패,2020-09-04,,unparsed,메모만 (정답 파싱 실패),"위와 같은 사진, 회전/밝기 저하"
001899,실패,NONE,2021-11-29,parsed,둘 다 오답,NOV 29 2021(도트문자열)
001900,실패,2032-03-15,2021-11-29,parsed,둘 다 오답,"NOV 29 2021(도트문자열, 회전)"
001911,실패,2021-05-21,,blank,v5 정답,
001912,실패,2021-05-01,,blank,v5 정답,
001916,2021-06-24,2021-06-24,,blank,v5 정답,
001924,2022-01-21,2022-01-21,,blank,v5 정답,
001925,실패,NONE,,unparsed,메모만 (정답 파싱 실패),"위와 같은 사진, 회전/밝기 저하"
001937,2021-12-21,2015-12-26,,unparsed,메모만 (정답 파싱 실패),기존 모델이 맞음
001939,2021-03-14,2021-03-14,,blank,v5 정답,
001945,실패,2020-08-03,,unparsed,메모만 (정답 파싱 실패),08 2021(일자는 없음)
001946,실패,2020-02-08,,unparsed,메모만 (정답 파싱 실패),"08 2021(일자는 없음, 위와 같은 사진인데 월 틀림)"
001947,2016-06-23,2022-08-10,,blank,v5 정답,
001956,2021-10-NONE,2021-10-NONE,,blank,v5 정답,
001957,2021-10-NONE,2021-10-NONE,,blank,v5 정답,
001971,2021-06-18,2021-06-18,,blank,v5 정답,
001973,2023-03-15,2023-03-15,,blank,v5 정답,
001974,실패,2021-09-08,,unparsed,메모만 (정답 파싱 실패),09.2021(일자는 없음)
001976,실패,2031-03-31,2026-02-21,parsed,둘 다 오답,26.02.21(도트문자열)
001978,2020-11-04,2020-11-04,,blank,v5 정답,
001979,2020-11-04,2020-11-04,,blank,v5 정답,
001987,2025-12-28,2021-12-28,,blank,v5 정답,
001988,실패,2021-02-12,2021-12-28,parsed,둘 다 오답,"2021-12-28(위와 같은 사진, 회전/밝기 저하)"
